campaign_id,campaign_name,campaign_type,start_date,end_date,budget,target_audience,channel_focus,promotion_type,success_metric,duration_days,log_budget,budget_log,campaign_name_realistic
CAMP-1000,Flash Blast,Social Media,2024-04-27,2024-06-29,39912.59,Seniors,Multi-Channel,BOGO,Brand Awareness,63,10.59447214639019,10.59444709195316,Stride Winter Offer
CAMP-1001,Summer Deal,TV,2022-06-01,2022-07-12,149377.17,Young Adults,Email Only,Bundle Deal,Brand Awareness,41,11.914236423200055,11.914229728759047,Ignite Autumn Fest
CAMP-1002,Loyalty Special,TV,2024-08-25,2024-10-22,194966.05,Young Adults,Online,Gift with Purchase,Revenue,58,12.180585848909134,12.180580719824171,Stride Autumn Event
CAMP-1003,Fall Blast,Radio,2022-11-28,2023-01-06,160496.84,Young Adults,Mobile,Discount,Revenue,39,11.986035763517723,11.986029532884867,Momentum Winter Event
CAMP-1004,Winter Deal,Email,2022-08-07,2022-08-19,16112.0,Seniors,Mobile,Gift with Purchase,Revenue,12,9.68738167857357,9.687319614958344,Voyage Winter Event
CAMP-1005,Holiday Bonanza,Social Media,2023-05-25,2023-07-02,20416.96,Families,Mobile,Gift with Purchase,Brand Awareness,38,9.924170184671306,9.924121206982592,Boost Spring Offer
CAMP-1006,Spring Sale,PPC,2023-04-29,2023-07-26,28786.36,Seniors,Mobile,Gift with Purchase,Revenue,88,10.267691680895231,10.26765694282376,Boost Summer Flash
CAMP-1007,Super Event,Social Media,2022-09-17,2022-11-06,31376.57,Professionals,In-Store,Bundle Deal,Traffic,50,10.353848585430049,10.353816715022772,Voyage Back-to-School Sale
CAMP-1008,Spring Special,Social Media,2024-08-28,2024-09-14,36170.56,High Income,Mobile,Free Shipping,Customer Acquisition,17,10.496028453681555,10.496000807270306,Elevate Spring Bonanza
CAMP-1009,Mega Bonanza,TV,2024-07-22,2024-09-12,59665.63,Families,Mobile,Cashback,Brand Awareness,52,10.996528181629454,10.996511421702172,Momentum Winter Event
CAMP-1010,Summer Blast,Radio,2022-03-23,2022-05-28,100740.47,Seniors,Multi-Channel,BOGO,Conversions,66,11.520312811212237,11.52030288476424,Inspire Autumn Bonanza
CAMP-1011,Spring Promotion,Social Media,2022-07-19,2022-09-22,48854.87,Young Adults,In-Store,Cashback,Conversions,65,10.796629814018475,10.796609345439482,Elevate Autumn Sale
CAMP-1012,Weekend Bonanza,Print,2023-03-15,2023-05-11,16611.77,Students,Email Only,BOGO,Revenue,57,9.717926955711096,9.717866759241842,Surge Back-to-School Fest
CAMP-1013,Super Bonanza,PPC,2022-09-13,2022-10-05,14798.02,Professionals,Email Only,BOGO,Brand Awareness,22,9.6023162413436,9.602248667018573,Elevate Autumn Offer
CAMP-1014,New Customer Promotion,Influencer,2023-06-03,2023-07-20,16102.21,Professionals,In-Store,Gift with Purchase,Conversions,47,9.686773909981214,9.686711808633037,Voyage Autumn Blast
CAMP-1015,Loyalty Bonanza,Email,2024-04-16,2024-05-15,1939.89,Young Adults,Multi-Channel,Bundle Deal,Traffic,29,7.570901909744452,7.570386549418882,Inspire Summer Fest
CAMP-1016,Super Sale,PPC,2023-07-28,2023-10-17,40021.79,Professionals,Mobile,Cashback,Customer Acquisition,81,10.597204320850166,10.597179334773655,Inspire Summer Fest
CAMP-1017,Summer Sale,Social Media,2022-03-04,2022-05-05,31265.93,Families,Mobile,Cashback,Conversions,62,10.35031626846558,10.350284285281056,Revive Back-to-School Wave
CAMP-1018,New Customer Event,Radio,2023-02-11,2023-03-29,153137.51,Seniors,In-Store,Gift with Purchase,Revenue,46,11.939098084960646,11.939091554903216,Revive Spring Wave
CAMP-1019,Weekend Special,Social Media,2024-08-25,2024-10-05,33129.16,Students,In-Store,Discount,Traffic,41,10.408199324741984,10.40816914030906,Momentum Holiday Flash
CAMP-1020,Back-to-School Bonanza,Radio,2023-02-19,2023-03-10,87706.15,Families,In-Store,Free Shipping,Traffic,19,11.3817587029732,11.381747301329195,Momentum Back-to-School Wave
CAMP-1021,New Customer Special,Influencer,2024-09-09,2024-10-15,2925.65,Young Adults,In-Store,Cashback,Customer Acquisition,36,7.981613703184017,7.981271957200478,Elevate Spring Blast
CAMP-1022,Mega Bonanza,Affiliate,2023-04-19,2023-07-09,20137.86,Young Adults,In-Store,Discount,Conversions,81,9.910406560896915,9.910356904420409,Elevate Holiday Bonanza
CAMP-1023,Super Event,Print,2022-04-28,2022-07-04,2672.32,Professionals,Email Only,Bundle Deal,Traffic,67,7.8910764246488405,7.8907022879648645,Surge Autumn Fest
CAMP-1024,Loyalty Sale,Email,2022-10-11,2022-12-05,16649.17,Seniors,Mobile,Bundle Deal,Traffic,55,9.720175705566676,9.720115644316195,Inspire Autumn Fest
CAMP-1025,Flash Sale,Social Media,2023-04-02,2023-06-03,11818.76,Young Adults,Mobile,Discount,Traffic,62,9.37752798618542,9.377443378519578,Boost Holiday Bonanza
CAMP-1026,Weekend Special,Radio,2023-02-19,2023-04-02,176867.22,Families,Multi-Channel,Discount,Revenue,42,12.083160214489466,12.083154560546507,Revive Summer Wave
CAMP-1027,Flash Blast,TV,2023-05-11,2023-08-05,165194.73,Students,Multi-Channel,BOGO,Revenue,86,12.014886292277337,12.014880238833783,Revive Spring Event
CAMP-1028,Fall Blast,Affiliate,2023-10-27,2023-12-14,10106.87,Young Adults,Multi-Channel,Discount,Brand Awareness,48,9.221069607325262,9.220970669619328,Stride Back-to-School Offer
CAMP-1029,Weekend Blast,Social Media,2024-07-18,2024-09-03,34909.83,Families,Online,Discount,Customer Acquisition,47,10.460552375238965,10.460523730422372,Pulse Summer Wave
CAMP-1030,Back-to-School Event,Radio,2023-06-25,2023-09-01,70754.47,Seniors,In-Store,Discount,Customer Acquisition,68,11.166985127004505,11.166970993721712,Voyage Autumn Flash
CAMP-1031,Flash Event,Print,2022-03-30,2022-06-14,14526.21,Seniors,Online,Free Shipping,Brand Awareness,76,9.583778721609248,9.583709882897633,Voyage Winter Sale
CAMP-1032,Summer Sale,Influencer,2023-01-04,2023-02-01,7527.93,Budget Conscious,Multi-Channel,Discount,Customer Acquisition,28,8.926508212423451,8.926375382603492,Momentum Back-to-School Event
CAMP-1033,Back-to-School Sale,Affiliate,2023-05-30,2023-06-28,12072.68,Young Adults,Multi-Channel,BOGO,Revenue,29,9.398783155775073,9.398700327555783,Momentum Spring Offer
CAMP-1034,Winter Deal,Radio,2023-01-01,2023-02-02,167741.88,Young Adults,In-Store,BOGO,Traffic,32,12.030187609819887,12.030181648297225,Surge Winter Flash
CAMP-1035,Super Bonanza,Influencer,2023-10-10,2024-01-03,1540.49,Seniors,Online,Discount,Customer Acquisition,85,7.340504760117359,7.339855826616757,Momentum Back-to-School Event
CAMP-1036,Loyalty Sale,Social Media,2024-08-30,2024-10-14,39291.52,Young Adults,Mobile,BOGO,Traffic,45,10.578789448953346,10.578763998492919,Elevate Autumn Fest
CAMP-1037,Holiday Deal,TV,2022-08-02,2022-10-18,67689.96,Seniors,Online,Discount,Customer Acquisition,77,11.122707919703755,11.122693146573242,Elevate Winter Offer
CAMP-1038,Weekend Special,PPC,2022-07-26,2022-08-08,24813.54,Families,Multi-Channel,BOGO,Traffic,13,10.11918505067463,10.119144750908847,Ignite Winter Wave
CAMP-1039,Loyalty Blast,Social Media,2022-09-30,2022-11-01,37517.64,Young Adults,Multi-Channel,BOGO,Revenue,32,10.532593155128456,10.532566501355106,Voyage Holiday Blast
CAMP-1040,Mega Special,TV,2023-05-13,2023-05-26,127229.55,Professionals,Email Only,Free Shipping,Conversions,13,11.753756074007226,11.753748214228818,Surge Winter Bonanza
CAMP-1041,Fall Promotion,Influencer,2022-05-05,2022-07-30,12496.72,Young Adults,Online,Free Shipping,Revenue,86,9.433301506653489,9.43322148885749,Revive Back-to-School Flash
CAMP-1042,Mega Sale,TV,2024-08-30,2024-10-15,156402.19,Professionals,Mobile,Cashback,Revenue,46,11.96019250330478,11.960186109552858,Voyage Autumn Wave
CAMP-1043,New Customer Event,Affiliate,2022-08-02,2022-08-26,6886.45,Professionals,Email Only,Discount,Customer Acquisition,24,8.83745619390669,8.83731099174873,Surge Autumn Sale
CAMP-1044,New Customer Sale,Email,2024-06-28,2024-07-29,5968.81,Families,Email Only,BOGO,Conversions,31,8.694470380084551,8.694302856534536,Inspire Holiday Event
CAMP-1045,Fall Promotion,Social Media,2023-06-06,2023-08-12,30746.53,High Income,Multi-Channel,BOGO,Conversions,67,10.33356494480517,10.333532421338672,Surge Winter Fest
CAMP-1046,Summer Promotion,Affiliate,2023-01-09,2023-03-31,6104.09,Students,In-Store,BOGO,Brand Awareness,81,8.716878128450885,8.716714317285478,Voyage Winter Sale
CAMP-1047,Winter Special,PPC,2024-06-26,2024-09-05,34222.09,Seniors,Email Only,Cashback,Customer Acquisition,71,10.440655841440861,10.440626620975664,Elevate Holiday Offer
CAMP-1048,Flash Special,Affiliate,2023-02-13,2023-03-28,16275.75,Young Adults,Multi-Channel,Gift with Purchase,Traffic,43,9.69749298817789,9.697431548964293,Revive Holiday Bonanza
CAMP-1049,New Customer Sale,PPC,2024-02-13,2024-04-10,25606.88,Budget Conscious,Multi-Channel,BOGO,Customer Acquisition,57,10.150655395603106,10.150616344360841,Voyage Summer Offer
CAMP-1050,Holiday Promotion,TV,2024-05-22,2024-07-07,83771.27,Budget Conscious,Online,Free Shipping,Traffic,46,11.335857324787158,11.335845387591608,Momentum Spring Event
CAMP-1051,Super Blast,Email,2023-07-02,2023-09-21,20050.21,High Income,Online,Bundle Deal,Conversions,81,9.906044780040961,9.905994906495327,Revive Summer Flash
CAMP-1052,New Customer Promotion,Influencer,2024-07-27,2024-08-22,8551.23,Families,Mobile,Cashback,Conversions,26,9.053947346636969,9.053830411233122,Pulse Winter Offer
CAMP-1053,Spring Promotion,TV,2023-01-14,2023-03-15,78725.83,Professionals,Multi-Channel,Free Shipping,Customer Acquisition,60,11.273739291173808,11.273726588943182,Pulse Spring Offer
CAMP-1054,Weekend Special,Email,2022-01-28,2022-04-20,5716.88,Students,Online,Bundle Deal,Brand Awareness,82,8.651353386303173,8.651178481013941,Inspire Summer Fest
CAMP-1055,Back-to-School Event,PPC,2023-12-11,2024-03-08,42479.39,Seniors,Multi-Channel,Cashback,Conversions,88,10.656797836664637,10.656774296114037,Revive Spring Offer
CAMP-1056,Spring Deal,Influencer,2022-12-07,2023-02-25,7715.46,Young Adults,Mobile,BOGO,Conversions,80,8.951110988630179,8.950981387128694,Inspire Summer Blast
CAMP-1057,Weekend Promotion,Radio,2023-01-01,2023-01-16,111794.69,Students,Email Only,Gift with Purchase,Conversions,15,11.624428287976128,11.62441934304746,Boost Back-to-School Bonanza
CAMP-1058,Loyalty Blast,TV,2023-02-11,2023-03-16,139344.59,Young Adults,Email Only,BOGO,Conversions,33,11.844712385477134,11.844705209049174,Elevate Back-to-School Flash
