product_sku,product_name,category,subcategory,brand,cost_price,retail_price,launch_date,discontinuation_date,supplier,weight_kg,dimensions_cm,stock_level,reorder_point,log_retail_price,log_cost_price,retail_price_log,cost_price_log,stock_level_log,retail_price_adj,cost_price_adj,stock_level_adj,product_name_realistic
BEA-TEC-1000,TechPro Ultra Product Kit 204,Beauty,Skincare,TechPro,31.41,78.99,2023-07-13,2025-03-16,"Rodriguez, Figueroa and Sanchez",1.69,16x32x19,258,87,4.3819016268607305,3.478467017153456,4.369321262176328,3.447126313550555,5.552963460883098,78.86704931647041,36.988049197148236,255,Nimbus Blender 2023
ELE-SPO-1001,SportElite Classic Laptop,Electronics,Smart Home,SportElite,47.55,104.1,2022-01-07,,Doyle Ltd,8.07,59x48x22,79,37,4.6549122778829055,3.882594194737334,4.645351975620923,3.8617817889913995,4.369460510614755,104.54170002028171,51.66334586984096,81,Nimbus Eco Water Bottle 2022
AUT-STY-1002,StyleMax Pro Equipment Set 452,Automotive,Car Care,StyleMax,35.98,86.55,2022-02-14,,"Mcclain, Miller and Henderson",26.86,53x15x40,150,90,4.472210058731861,3.610377225958979,4.4607222816222185,3.582963228522387,5.0106419607407,86.77735406297518,49.51415329604927,151,Solstice Wireless Earbuds 2023
BOO-KIT-1003,KitchenMaster Smart Accessory Kit 333,Books,Educational,KitchenMaster,79.1,210.38,2022-03-23,,Davis and Sons,43.34,53x40x34,325,56,5.353657461581201,4.383275854074314,5.348915419311128,4.370712874773608,5.7838282592480805,210.4766853145131,87.89109473487129,322,Lumen Edge Action Camera 2022
CLO-AUT-1004,AutoCare Smart Hat Kit 763,Clothing,Kids Clothing,AutoCare,10.1,21.65,2023-10-13,,"Guzman, Hoffman and Baldwin",36.48,25x64x29,138,91,3.120159851929043,2.4069451083182885,3.075005454448499,2.312535423847214,4.927260931507761,21.312898267633585,15.341241432222876,138,Vertex Pro Action Camera 2024
BEA-AUT-1005,AutoCare Premium Product,Beauty,Makeup,AutoCare,16.27,44.05,2023-02-15,,"Gardner, Robinson and Lawrence",10.63,77x96x25,108,93,3.807772984054347,2.848970892158587,3.7853253523821886,2.7893229212309465,4.682140486340613,43.71287462992947,33.05979861322249,106,Nimbus Flex Trail Shoes
SPO-FAS-1006,FashionForward Elite Gear Kit 674,Sports,Athletic Wear,FashionForward,83.2,192.07,2024-02-04,,Blake and Sons,44.9,56x51x19,70,75,5.263052817447726,4.4331949212482815,5.2578598889167605,4.421247347827163,4.2485095276616045,191.63692193992483,87.84928043149951,75,Terra Yoga Mat
SPO-TEC-1007,TechPro Pro Product,Sports,Fitness Equipment,TechPro,40.07,107.72,2023-03-09,,"Henderson, Ramirez and Lewis",19.3,81x64x38,128,80,4.688775769842889,3.7152779279684673,4.679535267943399,3.6906279246480533,4.8520380763891,108.07885262285943,67.47795877376169,127,Lumen Trail Shoes
AUT-STY-1008,StyleMax Ultra Accessory,Automotive,Car Parts,StyleMax,13.16,25.54,2022-06-11,,Garcia-James,47.7,97x38x37,390,32,3.2786530289040616,2.6504210882655737,3.2402458506043934,2.5771819258971713,5.966149303222969,25.639092711508344,11.825068978496748,395,Lumen Yoga Mat
BOO-BEA-1009,BeautyGlow Smart Product,Books,Fiction,BeautyGlow,32.73,57.03,2024-03-08,,Abbott-Munoz,45.93,81x46x36,9,24,4.060960118202517,3.5183876490735586,4.043577445168448,3.4882920885130893,2.1973356822749484,57.23391112624012,25.34111072824413,8,Pulse Classic Portable Speaker 2023
HOM-SPO-1010,SportElite Premium Table,Home & Garden,Bedding,SportElite,13.24,38.65,2022-03-29,,Blair PLC,40.82,73x21x13,337,70,3.680090948080857,2.65605490598383,3.654546775033431,2.5832425505088623,5.82008589770701,38.180172804409885,29.590281556598406,338,Harbor Trail Shoes
BOO-BEA-1011,BeautyGlow Classic Product,Books,Non-Fiction,BeautyGlow,13.21,34.78,2023-12-08,,Dudley Group,15.65,90x88x28,224,76,3.5773890780805733,2.6539459421090092,3.549042508926137,2.580974118534234,5.4116505161307895,35.24051165511876,15.738909213336203,229,Granite Flex Yoga Mat 2024
SPO-SPO-1012,SportElite Smart Item,Sports,Fitness Equipment,SportElite,24.97,59.5,2022-08-24,,Arnold Ltd,0.46,95x85x8,117,18,4.102643365036796,3.256942025674657,4.085976312551584,3.217675104291682,4.762182481769778,59.825793787984416,37.132217687285525,116,Solstice Yoga Mat
ELE-STY-1013,StyleMax Smart Tablet,Electronics,Tablets,StyleMax,8.06,16.92,2022-05-16,,"Mcclure, Ward and Lee",44.13,78x65x20,401,70,2.8859174075467844,2.203869120054888,2.8284963541780774,2.086913556518537,5.993963921069046,16.63809232846471,9.913424710971585,406,Nimbus Portable Speaker
AUT-SPO-1014,SportElite Pro Item,Automotive,Accessories,SportElite,4.25,8.64,2023-02-25,,Williams and Sons,36.48,91x88x46,50,17,2.265921108622454,1.6582280766035324,2.1564025828159643,1.4469189829363254,3.9120430052281487,8.32818846786296,4.575198564316062,47,Solstice Max Desk Lamp
SPO-STY-1015,StyleMax Smart Product Edition 243,Sports,Team Sports,StyleMax,12.11,25.83,2022-10-13,,Galloway-Wyatt,43.74,14x61x40,50,16,3.2895206644375325,2.5733752977756086,3.251536607107749,2.494031557565001,3.9120430052281487,25.519736419656365,10.959373156722695,54,Lumen Wireless Earbuds
BEA-STY-1016,StyleMax Smart Product,Beauty,Skincare,StyleMax,8.07,17.94,2023-02-15,,James Group,8.32,5x54x21,474,68,2.9412760877579323,2.2049722641270453,2.88703285663065,2.0881534822818573,6.161209431397492,17.74815739810035,14.06281573736972,473,Aurora Wireless Earbuds
HOM-OUT-1017,OutdoorAdventure Modern Table Collection 159,Home & Garden,Garden Tools,OutdoorAdventure,26.65,63.13,2023-07-10,2024-11-22,"Flowers, Martin and Kelly",2.95,79x66x37,470,77,4.160912273160772,3.3196257279683437,4.145196092379535,3.2827891506118534,6.152734822361415,63.15426130299959,38.477530242890865,471,Granite Edge Yoga Mat
CLO-OUT-1018,OutdoorAdventure Pro Pants Series 791,Clothing,Mens Apparel,OutdoorAdventure,5.89,21.94,2023-02-18,2025-03-22,"Adams, Zuniga and Wong",12.39,81x10x44,41,63,3.1328821117012247,1.9300710850255671,3.088311454847084,1.7732559976634952,3.713596456650773,21.873306118269277,11.48154299126941,40,Pulse Wireless Earbuds
BEA-BEA-1019,BeautyGlow Smart Accessory,Beauty,Hair Care,BeautyGlow,5.63,10.47,2023-02-10,2025-05-30,"Reid, Ferguson and Sanchez",15.07,45x14x5,234,89,2.4397349311412793,1.891604804197771,2.3485140248824456,1.728109442151599,5.4553253888528435,10.265404557394081,5.244771927028943,233,Canyon Lite Desk Lamp
BOO-STY-1020,StyleMax Smart Tool Model 170,Books,Fiction,StyleMax,75.12,211.76,2023-01-14,,Gray-Mayo,21.97,74x95x24,313,93,5.360164769874117,4.332311042427949,5.355453557918846,4.319086834900007,5.746206385423228,211.86961583682793,110.8050605797378,316,Lumen Yoga Mat
BOO-OUT-1021,OutdoorAdventure Ultra Accessory Collection 370,Books,Fiction,OutdoorAdventure,16.39,27.43,2022-04-20,,"Watts, Robinson and Nguyen",7.86,41x82x18,367,53,3.3474449256629084,2.855895328366192,3.311637304949512,2.7966713927557385,5.905364572846498,27.076703983439,20.20533910516759,364,Terra Pro Action Camera
CLO-OUT-1022,OutdoorAdventure Modern Dress,Clothing,Kids Clothing,OutdoorAdventure,12.86,47.48,2022-04-05,,Perez Inc,41.48,10x5x26,394,26,3.881151341761059,2.6290069937617573,3.860308569741467,2.554121718809473,5.976353447365779,47.27630175556451,32.159314932393855,394,Nimbus Blender 2023
BEA-HOM-1023,HomeComfort Modern Tool,Beauty,Hair Care,HomeComfort,5.57,13.05,2022-04-25,2024-09-28,Morales-Jones,45.21,74x9x28,298,80,2.642622395779755,1.8825138324965192,2.5687881337687024,1.7173950539391927,5.697096842204472,12.919034606427818,8.48152437045212,293,Granite Eco Portable Speaker
CLO-HOM-1024,HomeComfort Premium Dress,Clothing,Shoes,HomeComfort,7.88,30.47,2022-02-10,,"Walter, Edwards and Rios",10.58,36x90x11,181,81,3.4490347110763153,2.1838015570040787,3.416742592997618,2.064327903869788,5.198502556112442,30.426948584532695,14.550931044606418,185,Canyon Select Water Bottle
AUT-KIT-1025,KitchenMaster Elite Product,Automotive,Accessories,KitchenMaster,22.19,65.79,2022-07-01,,Wilkerson-Day,1.34,99x47x31,410,95,4.201553368737545,3.1437211512674406,4.186467851097906,3.0996417369445024,6.016159598719769,66.06947244216516,45.488570870342215,409,Aurora Trail Shoes
AUT-BEA-1026,BeautyGlow Elite Accessory Set 139,Automotive,Tools,BeautyGlow,7.13,19.87,2022-08-16,,Baker and Sons,45.93,49x44x19,114,13,3.0383127210891097,2.0955609235597192,2.9892110565637253,1.9643112344262046,4.736207220285847,19.575680306515192,14.010667040548073,116,Harbor Eco Coffee Grinder 2022
BEA-SMA-1027,SmartLife Advanced Gear,Beauty,Makeup,SmartLife,28.17,83.1,2022-10-13,,"Hoffman, Baker and Richards",25.52,91x73x26,480,13,4.432006566978902,3.37314078387963,4.420044701861403,3.338257581888281,6.1737881872331,83.11394974964533,34.66024518282435,479,Harbor Water Bottle
ELE-HOM-1028,HomeComfort Ultra Phone Edition 453,Electronics,Tablets,HomeComfort,29.94,84.44,2022-11-18,,"Ross, Robinson and Bright",49.21,19x54x41,97,42,4.447814375211885,3.43204984514492,4.43604122298012,3.3991953789914824,4.574721287728593,84.5305662774848,67.3247656180997,100,Nimbus Yoga Mat
ELE-SMA-1029,SmartLife Premium Monitor,Electronics,Gaming,SmartLife,40.78,104.16,2024-01-07,,"Snyder, Campos and Callahan",36.88,30x51x32,35,95,4.655482999861681,3.7324177561284198,4.6459281784602595,3.708191765146309,3.5553766325098297,103.71552140446559,41.576612997449914,40,Solstice Pro Desk Lamp
HOM-AUT-1030,AutoCare Pro Pot,Home & Garden,Home Decor,AutoCare,11.69,26.42,2023-11-14,,Burton Ltd,20.18,42x75x13,98,63,3.3112726741341683,2.540814281726296,3.2741212990941793,2.458733775483977,4.584977682700143,26.52539395486341,14.039134528196824,98,Lumen Blender
BEA-HOM-1031,HomeComfort Ultra Equipment,Beauty,Fragrances,HomeComfort,106.38,159.64,2022-10-21,,Carlson-Cruz,39.31,82x88x25,238,66,5.079165836503364,4.676373944994423,5.072921280180533,4.667017589314171,5.47227487534332,159.31711364121352,74.65795590153421,240,Nimbus Coffee Grinder
SPO-OUT-1032,OutdoorAdventure Modern Accessory Series 390,Sports,Outdoor Gear,OutdoorAdventure,19.84,45.11,2023-10-11,,"Ferrell, Rice and Maddox",4.76,35x91x24,115,35,3.8310298462186143,3.0368742168851663,3.8091039514203047,2.987700101856727,4.744940823977617,44.68375056112557,30.481120602179384,119,Harbor Edge Wireless Earbuds
CLO-TEC-1033,TechPro Smart Jacket,Clothing,Mens Apparel,TechPro,5.23,18.49,2023-04-12,,Frazier Inc,31.53,29x96x49,196,73,2.9699015135194693,1.8293763327993617,2.9172300453990334,1.6544112780768316,5.278119761258318,18.929907826508266,15.035531506507285,198,Nimbus Smart Thermostat
SPO-HOM-1034,HomeComfort Premium Item,Sports,Outdoor Gear,HomeComfort,42.11,76.99,2023-12-14,,"Dyer, Potter and Mack",2.61,36x20x34,68,69,4.356580613342406,3.763754988759043,4.343675543289958,3.740285242173836,4.219522410950329,77.44631939241306,39.09894415215352,65,Lumen Prime Desk Lamp
BEA-FAS-1035,FashionForward Classic Tool,Beauty,Hair Care,FashionForward,6.69,11.64,2023-05-02,,Rodriguez-Graham,37.61,86x40x38,248,90,2.5368663887187113,2.0399207835175526,2.454447442303292,1.900613874140137,5.513432778414917,11.942229401154133,5.569165068477172,249,Vertex Yoga Mat
CLO-FAS-1036,FashionForward Pro Hat Model 443,Clothing,Kids Clothing,FashionForward,14.4,38.0,2023-07-08,2024-06-06,Smith-Bowen,11.64,93x24x50,109,18,3.6635616461296463,2.7343675094195836,3.6375861597263857,2.667228206581955,4.691357056498987,37.808521493789904,19.04829409479071,110,Solstice Water Bottle
SPO-AUT-1037,AutoCare Modern Equipment Set 530,Sports,Athletic Wear,AutoCare,3.44,7.18,2024-02-28,,"Baker, Mason and White",34.81,78x53x35,3,55,2.1016921506146558,1.4906543764441333,1.9712993830601329,1.235471471385307,1.09894556645823,6.785718671726256,5.040838192661501,7,Harbor Action Camera
HOM-SMA-1038,SmartLife Smart Vase Edition 597,Home & Garden,Garden Tools,SmartLife,6.08,9.38,2022-12-11,,Harrell LLC,39.93,97x26x34,470,26,2.339880877737743,1.9572739077056285,2.238579763018133,1.8050046959780757,6.152734822361415,9.560548365981914,4.767165056377927,470,Canyon Lite Water Bottle 2024
BOO-SMA-1039,SmartLife Premium Item,Books,Fiction,SmartLife,23.98,40.85,2023-04-18,,"Romero, Gonzalez and Brooks",13.08,46x32x34,167,53,3.7340917969354845,3.2180755046974316,3.709906821306012,3.177220149599368,5.117999800422779,40.79134944386481,20.086920394971248,168,Aurora Portable Speaker
AUT-BEA-1040,BeautyGlow Classic Gear,Automotive,Accessories,BeautyGlow,39.04,86.1,2024-02-07,,Ryan PLC,50.0,49x33x46,35,93,4.467056883858457,3.68987895444702,4.455509411433685,3.664586761544892,3.5553766325098297,85.72959747014788,46.00111264564734,31,Aurora Trail Shoes 2022
ELE-SPO-1041,SportElite Smart Phone,Electronics,Smartphones,SportElite,64.8,138.29,2023-04-30,,George Group,28.24,32x64x49,131,57,4.93655809069994,4.186619838331271,4.929352929476567,4.1713056033582285,4.875204956759802,138.28527337190903,68.25119821704213,134,Aurora Lite Coffee Grinder 2025
CLO-KIT-1042,KitchenMaster Pro Pants,Clothing,Accessories,KitchenMaster,11.11,24.61,2022-01-27,,Rodriguez LLC,28.83,53x55x50,101,19,3.242982900211434,2.494031557565001,3.2031528644029645,2.4078456036515385,4.6151304177823445,24.153700750692913,11.150107275525825,105,Solstice Edge Water Bottle
BOO-STY-1043,StyleMax Ultra Accessory,Books,Non-Fiction,StyleMax,15.32,25.76,2023-08-03,,Allen-Allen,17.43,59x89x28,35,74,3.286908235260028,2.792391349535961,3.248822901236153,2.729159164312445,3.5553766325098297,26.161133994037208,14.507875414486302,39,Solstice Smart Thermostat 2022
BEA-TEC-1044,TechPro Classic Equipment Model 750,Beauty,Hair Care,TechPro,5.31,15.06,2023-04-16,,"Arroyo, Miller and Tucker",21.83,98x71x46,138,88,2.7763317085186157,1.8421356765531218,2.7120422223717475,1.6695918352538475,4.927260931507761,14.823604381968018,11.333507015068832,133,Granite Prime Coffee Grinder
AUT-FAS-1045,FashionForward Classic Accessory,Automotive,Accessories,FashionForward,10.51,20.84,2022-09-09,,Spence PLC,4.42,62x36x34,291,88,3.083743150876704,2.443216222733791,3.0368742168851663,2.3523271848888596,5.673326703591705,20.999271838666903,12.703485898415328,286,Aurora Flex Trail Shoes
