transaction_id,date,timestamp,customer_id,product_sku,product_category,product_subcategory,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,sales_channel,store_location,store_id,payment_method,shipping_method,marketing_campaign,referral_source,coupon_code,loyalty_tier,weekday,hour,log_unit_price,log_total_amount,unit_price_log,total_amount_log,final_amount_log,unit_price_adj,total_amount_adj,final_amount_adj,customer_id_new,transaction_id_new,date_pre_season,month
TXN-20240907-7191,2024-11-29,2024-09-07 18:24:09,CUST-015838,HOM-SMA-2699,Home & Garden,Kitchen,SmartLife Ultra Tool,4,59.72,59.72,0.0,59.72,Phone,,,Google Pay,Express,,Organic,,Silver,Friday,16,4.106273133087375,4.106273133087375,4.089666972670989,4.089666972670989,4.089666972670989,60.24853894517712,60.24853894517712,60.24853894517712,CUST-10542,TXN-20240907-P59Y,2024-09-06,11
TXN-20241115-1755,2024-11-15,2024-11-15 12:53:17,CUST-012245,ELE-TEC-1883,Electronics,Headphones,TechPro Advanced Phone,1,364.89,364.89,18.24,346.65,In-Store,San Antonio,STORE-842,Debit Card,,,Organic,,Bronze,Friday,12,5.902332741780143,5.902332741780143,5.899595938298455,5.899595938298455,5.8483156253885,339.07202641034485,339.07202641034485,320.83202641034484,CUST-10523,TXN-20241115-EQ96,2024-11-15,11
TXN-20220825-2576,2022-08-25,2022-08-25 18:10:42,CUST-017135,ELE-SPO-1523,Electronics,Laptops,SportElite Ultra Speaker,2,272.49,544.98,0.0,544.98,Phone,,,Credit Card,Standard,,Organic,,Gold,Thursday,18,5.611265058122292,6.302582345037379,5.607601916182232,6.3007490967421775,6.3007490967421775,290.91527654467296,581.8305530893459,581.8305530893459,CUST-19227,TXN-20220825-SJQA,2022-08-25,8
TXN-20230902-9879,2023-09-02,2023-09-02 16:27:41,CUST-010326,CLO-TEC-1066,Clothing,Shoes,TechPro Elite Shoes,3,36.54,109.62,0.0,109.62,Phone,,,Google Pay,In-Store Pickup,,Organic,,Silver,Saturday,18,3.6254070311583626,4.706100904566532,3.5984075509498608,4.697019839617971,4.697019839617971,30.288105740475267,90.86431722142581,90.86431722142581,CUST-10581,TXN-20230902-0PX9,2023-09-02,9
TXN-20240218-6595,2024-11-29,2024-02-18 14:49:14,CUST-011920,CLO-SPO-1048,Clothing,Shoes,SportElite Ultra Hat,4,43.6,43.6,0.0,43.6,Online,,,Debit Card,Standard,CAMP-1049,Google Ads,,Platinum,Friday,12,3.7977338590260183,3.7977338590260183,3.775057150354989,3.775057150354989,3.775057150354989,47.295776073756414,47.295776073756414,47.295776073756414,CUST-16057,TXN-20240218-9DBK,2024-02-18,11
TXN-20230826-1571,2021-11-26,2023-08-26 20:22:44,,CLO-BEA-3318,Clothing,Shoes,BeautyGlow Smart Pants Set 550,3,29.21,29.21,5.84,23.37,In-Store,Seattle,STORE-187,Apple Pay,,,Organic,,,Friday,18,3.4081729953985804,3.4081729953985804,3.3745111163996495,3.3745111163996495,3.1514531485507664,30.483391614968053,30.483391614968053,24.643391614968053,,TXN-20230826-4EPB,2023-08-25,11
TXN-20220807-3072,2021-11-26,2022-08-07 21:19:15,CUST-011470,ELE-STY-3451,Electronics,Smart Home,StyleMax Premium Phone,7,50.67,152.01,0.0,152.01,Online,,,Credit Card,Standard,,Organic,,Platinum,Friday,21,3.944877342299093,5.030503278733722,3.9253340194878183,5.023946308155928,5.023946308155928,62.08708903814908,186.26126711444724,186.26126711444724,CUST-10002,TXN-20220807-O017,2022-08-07,11
TXN-20230701-6513,2021-11-26,2023-07-01 11:45:11,,HOM-HOM-2723,Home & Garden,Garden Tools,HomeComfort Smart Chair,7,74.53,74.53,0.0,74.53,In-Store,Denver,STORE-760,Credit Card,,,Organic,,,Friday,11,4.324529928325356,4.324529928325356,4.311201728893603,4.311201728893603,4.311201728893603,83.73902489479043,83.73902489479043,83.73902489479043,,TXN-20230701-17HV,2023-07-01,11
TXN-20231201-3790,2023-12-01,2023-12-01 12:36:10,,AUT-SMA-2223,Automotive,Accessories,SmartLife Premium Equipment,3,36.79,110.37,16.56,93.81,Online,,,Debit Card,In-Store Pickup,CAMP-1214,Email,CAMP-1214-268,,Friday,14,3.6320445173613978,4.712857991405009,3.605226069116683,4.703838357784793,4.541271460137859,45.16474360176424,135.49423080529272,118.93423080529271,,TXN-20231201-0EHL,2023-12-01,12
TXN-20220809-6270,2022-08-09,2022-08-09 20:35:47,CUST-012848,AUT-AUT-1350,Automotive,Tools,AutoCare Classic Accessory,1,55.51,55.51,13.88,41.63,Phone,,,Credit Card,Standard,,Organic,,Gold,Tuesday,22,4.034417613641752,4.034417613641752,4.01656318470207,4.01656318470207,3.728821061206884,55.99307353340849,55.99307353340849,42.11307353340849,CUST-16008,TXN-20220809-ITSJ,2022-08-09,8
